Question,Answer
Are you familiar with presales?,"BANT (Budget, Authority, Need, Timing): A framework to qualify prospects based on their readiness to make a purchase.
MEDDIC/MEDDPICC: A comprehensive sales qualification framework that assesses the metrics, economic buyer, decision criteria, decision process, paper process, impact on pain, champion, and competition.
Command of the Message: A structured approach to understanding and articulating a value proposition tailored to customer needs.
Challenger: A sales approach that challenges customer assumptions and educates them about unknown needs and opportunities.
In the presales role, you are likely involved in various stages of the sales cycle, including qualification, scoping, proof of concept (POC), proof of value (POV), statement of work (SoW), request for proposal (RFP), and request for information (RFI). These processes involve aligning solutions to customer requirements, demonstrating value, and ultimately winning the deal."
What do you feel is your most important quality?,"Even in fields where I quite competent, I maintain a sense of determination to understand that technology is constantly moving and it requires continuous learning. I hold myself up to very high standards and care deeply about what I do. I work very hard to maintain not only a strong work ethic, but a strong family ethic as well. I love having a light hearted approach to working with my coworkers, yet still remain serious and caring about the quality of my work."
What interests you in terms of technology?,"I love understanding how things work. I love creating things. I am full of ideas. It's like a never ending stream of ideas, and many times I do not know how to go about creating them. In order to do that, I need to learn as much as possible. The more I learn about technology, the more I want to understand in more detail how they work. This just continuously snowballs into more and more topics to explore and deep dive."
"How would your customers and peers describe you?
","I am very customer oriented. I care very much about ensuring the success of the customer and how they can utilize the technology and the services associated with what I can bring to the table. I'm available during many times of the day and night, and will dig deep to find the right answers and content. I will build out demonstrations that go far and above what my peers are and potentially are able to do."
Details about you,"Name: Robert Cuellari
DoB: 10 MAY 1983
Born: United States, NJ
Marital Status: Married to Alexandra, son is Leonardo
Pets: Two dogs named Eko and Betty
Current Residence: Hellerup, Denmark
Education:

High School: Freehold Boro
College: United States Air Force Community College, Union County, Montclair State University for Bachelors and Masters"
Tell me about some highlights at MapsPeople in your last current year,"September / October → Swapcard Logo Features → account team, product, UEX, web devs
September / October → enterprise customer scripts created to assist deployment team
October → New pitch idea (product value) → sales / marketing
September / October → Wayleader, Flutter and API scoping → customer developers, internal developers

October → US prospect → walking customer through how to integrate / implement / architecture → US SE team

September / October → Map Template feedback → Product team

November → Swapcard logo feature expanded to include machine learning for color detection prototype
November → Transition sales from feature-based selling to value-based selling. Created monologue video with examples and distributed to all levels in the company.

November → Kicked butt on major automotive enterprise customer call. Helped their devs.
November → Proposed solution for automating routes for event vertical → will become a CMS feature
November → Troubleshooting for parking partner in panic mode with wayfinding implementation

November → created a bunch of contextualized demo environments for retail, room booking.
November → edited and trained other SE on Kiosk web app angular code base for custom requirements for international Airport.

December → continued enterprise support to meet launch date on time
December → created heatmap demo for Google Maps → marketing content on LinkedIn
December → created Storage Demo utilizing 2d Models
December → continued partner support prep for their enterprise deals
December → created prototype screenshot automation tool for partner
December → created algorithm for reducing GDS Q.A. process by X % (metrics to be gathered)

January → Django webapp prototype → crucial in closing Banking partner.
January → Project management tool via React app

February → Wayfinding webapp for demoing with 3d
February → Enterprise customer 
February → availability demo / Ford help
February → divert major banking institution from their own integration API SSO demands into a more standard SSO integration (less efforts on our side)
February → Internal tool, api key exposer for project management

Swedavia → account renewal

XML to geojson script → Swapcard 

Rewrite getting started guide
March Banking intuitition→ close deal (20K)
March Partner → close deal (100K)
March US partner developer walk through
"
How would you describe your work style?,"Thorough and efficient, collaborative."
What type of work environment do you thrive in?,Fast paced and challenging. An environment where everyone feels motivated.
How do you handle feedback and criticism?,"I am receptive at criticism and try to learn from my shortcomings. Even if I personally don't agree, I've learned that giving the thoughts some time to think over are generally much healthier and will benefit me in the long-term to learn from the criticism than to respond immediately."
Can you describe a situation where you took initiative at work?,I have taught myself thoroughly how to use the MapsIndoors SDKs and have taught myself Python for scripting through tasks that are normally manually done. I build prototypes (not asked of me) to help influence prospects and inspire them on using MapsIndoors software.
What are the values that you consider most important in a workplace?,"Honesty, hard work ethic, passion and humor."
How do you handle stress and pressure?,"I enjoy stress and pressure, so I do not feel a need to handle it."
Can you tell me about a mistake you made at work and how you handled it?,There are times when I am not as thorough as I would like to be and sometimes work is not 100% scoped. When this happened I need to have more communication with the customer and sometimes reset expectations.
What motivates you in your work?,"Problem solving, making customers happy, enjoyable coworkers, salary, benefits."
How do you approach teamwork? What role do you usually take on in a team?,I usually take a leadership or at least a lead contributor role on teams. 
What are your methods for staying organized and meeting deadlines?,"I try to keep track of all my tasks, and ensure that anyone depending on me is open with me if they feel like I am not prioritizing them accordingly."
How do you approach continuous learning and professional development?,It's very important to me and it's something I regularly do.
Can you tell me about a professional achievement that you're particularly proud of?,I have made prototype applications that have helped win deals that otherwise would have fallen short with a more generic demo.
How do you approach diversity and inclusion in the workplace?,I enjoy it and welcome it.
What are your interests outside of work?,"I play music, and trading card games like Magic the Gathering and Flesh and Blood."
How would your coworkers describe your work style and contributions to the team?,"Hard worker, smart, and cares a lot."
What kind of corporate social responsibility initiatives are important to you?,"I care a lot about ethical things, like the environment and rights of individuals. People should be treated equally."
How have you contributed to a positive team culture in your previous roles?,"I try to make myself as approachable as possible and enjoy knowledge sharing and helping others. If I find my workload is light, I will offer my time to others."
Can you describe a time when you successfully communicated a complex technical concept to a non-technical client?,I have had to explain the VAST and OpenRTB specifications to ad operations specialists to help them undestand how campaign optimization is impacted by 3rd party ad servers and SSPs
How do you approach the process of learning about a new product or technology in order to sell or implement it?,"First I try to find some documentation, then some YouTube videos. I will also work through some tutorials and try to become acquainted first hand. If I have access to some engineers and have done some due dilligence, I will also reach out to them for some more context."
Have you ever had to handle objections or pushback from a potential customer? How did you respond?,"It's important for me to determine why there is pushback, and if it is meaningful to their business. There's a good chance the pushback is very valid, but there's also time when there's pushback just due to ego. It's best not to assume and determine what is the right corrective action after getting more info."
Can you tell me about a time when you identified a client's needs and were able to suggest an appropriate product or solution?,"It's very often as a solutions engineer to encounter such scenarios. For example I recently found some workarounds for product shortcomings. They have tried to implement a dark mode on the map, and our SDK is incompatible with changing these layers at runtime. I found a way to modify the existing layers instead, tested it, recorded a video and shared it with the customer."
How do you stay updated on the latest trends and advancements in your industry?,"I pay attention to social media like Reddit, LinkedIn, Medium Articles and YouTube as well as keeping up with my colleagues."
What strategies do you use to build strong relationships with clients?,"I try to be an advocate for the customer. I also try to be as professional and also have some humor. It is still a business relationship, so I always prioritize why the relationship exists in the first place."
Can you describe a situation where you had to troubleshoot a product or solution for a client?,I had a very thorough troubleshooting where I needed to determine from the Ad server + Sell Side Platform why delivery of programmatic (auction-based ad campaigns) were not delivering as much as possible. I was able to determine that there was some gaps in the current integration and was able to help engineering identify internally how a particular feature impacted this. That feature was subsequently deprecated and removed.
How do you handle technical questions or issues that you don't immediately know the answer to?,"I will let the customer or prospect know that I will need to research more about it, but more importantly I will try to get as much context about why they are asking about such an issue, feature or question to reduce future inefficient communication."
Have you ever had to collaborate with a product team to improve a product based on customer feedback?,"As a presales engineer, I am continuously working on opportunities with sales managers. It's very common for me to help qualify prospects, give demos, speak with stakeholders at all levels and communicate accordingly to product management, engineering, marketing, and sales."
Can you describe your approach to presenting or demonstrating a product to a client?,I try to understand their pain points and make the demo as relevant as possible while helping them understand how features can translate directly to their business objectives.
How do you balance the need to close a sale with the need to ensure that the product or solution is genuinely the best fit for the client?,"I try to understand their pain points and make the demo as relevant as possible while helping them understand how features can translate directly to their business objectives. This may not always be 1:1 with needs/features, but I will try my best to show the value and where our features are strongest."
Have you ever been involved in a large-scale deployment or implementation of a product or solution?,Yes I have had several implementations with MapsIndoors SDK and API's as well as FreeWheel's ad tech stack.
Can you tell me about a time when you had to work closely with a sales team to achieve a goal?,"As a presales engineer, I am continuously working on opportunities with sales managers. It's very common for me to help qualify prospects, give demos, speak with stakeholders at all levels and communicate accordingly to product management, engineering, marketing, and sales."
How do you handle situations where a client may need more support or hand-holding than usual to use a product or solution?,"This really depends on the size of the account, but if it's a large account and it is cleared internally I am more than happy to take the extra time. It needs to be determined if this should be billed or not.  If it's a smaller account, it may require a customer success manager to be the primary stakeholder where the SE can be assigned tasks that are more based on a lower priority."
"What kinds of tools do you use to keep track of sales prospects, client needs, and follow-up tasks?","At MapsPeople we use Hubspot, Jira, Google Sheets, and Monday.com"
Can you describe your educational background?,"I have learned electronic principles in the military, chemistry at university and received my graduate degree in teaching. I have been learning tech (coding, software, architectures), for around 8 years now which have primarily been through my work, but also as hobbies."
What are your most significant achievements in your professional career?,
How would you describe your problem-solving skills?,"I have good intuition, but as a scientist by education I am quite methodical. My experience troubleshooting has spanned two decades and I also am very process oriented when I need to dig deep into something."
Can you tell me about a time when you faced a significant challenge at work and how you handled it?,"A significant challenge at work is usually involved when I am working on the behalf of customers, and other parts of the organization are prioritizing internally over the customers. Many times I will go above and beyond and sometimes there is tension between the two groups of teams."
What programming languages are you comfortable with?,"I primarily do my scripting in Python, but I am familiar with HTML CSS JS and am learning C to improve my fundamentals."
"Do you have experience with cloud technologies? If so, which ones?","I am somewhat familiar with Google Cloud Platform. I have used Cloud Functions, Big Query, and have some understanding of IAM."
Have you ever worked in a leadership or management role?,"Yes, as a teacher I was a leader and manager."
How comfortable are you with working in a team?,I'm very comfortable working in teams and leading teams as well. My experience as a teacher has prepared me for leading teams and I have been in contributor roles in my time in technology.
Do you have experience with remote work?,"At MapsPeople I typically go into the office once or twice a week, or additionally whenever there requires some better collaboration."
How would you describe your communication skills?,I feel my communication skills are direct and empathetic. I try not to make assumptions about the other person.
Are you familiar with Agile methodologies?,"I am familiar with Agile methodology, but as I am not a software engineer I do not work under this methodology."
Have you worked on any large-scale projects?,"I have some long-term projects that are outside the scope of pre-sales. One of those is a project management tool based on the Jira APIs, Google Sheets integration and has a front-end that allows project managers to submit multiple epics with linked tickets easily."
What kind of database systems have you worked with?,SQL (primarily OLTP) and noSQL (primarily Mongo)
"Do you have experience with front-end or back-end development, or both?","I have some development experience with front end using html css js and sometimes using react. Additionally if it counts, I can set up Swagger pages with FastAPI as it supports the openAPI specifications. For backend I am familiar with Django, Flask, FastAPI and I have had some minimal exposure to node.js"
What do you enjoy most about your work?,"I enjoy working on a computer and working with other people. What I enjoy most is that there are constantly challenges that require solutions. I love automating things as well, and this field allows me to do such tasks. Additionally, I can easily combine my hobbies with what I've learned at work and sometimes those two become very blurred."
Can you tell me about any software or applications you have developed?,"I have made a few internal tools at MapsPeople, however, you can find some of my projects on my GitHub, https://github.com/cuellarirobert"
Have you contributed to any open-source projects?,"I haven't in any meaningful ways. I am looking forward to doing so, but I still have a bit of this imposter syndrome that I'm working on."
Are you familiar with test-driven development?,"I am familiar with it, although I do not practice it regularly. Many of the projects I work on are prototypes and I am worried more about getting shipped quickly as they aren't used in production level environments."
How do you handle tight deadlines and high-pressure situations?,"I prioritize my work accordingly and try to break down key objectives into individual tasks which I can then more quickly complete. If I need to, I will try to delegate some work. If absolutely necessary, I will try to determine if parts of the project can be rescoped or delivered in multiple iterations."
Can you tell me about any recent training or certifications you've completed?,I am currently working on my CS50 certification from the Harvard online coursework. I also passed my first module of Danish language here in Denmark.
What are your career goals?,"I am to be continuously learn more and get better at my job, but also to be surrounded by people who care to do the same and are in generally people I can learn from."
How do you keep your technical skills up to date?,"I pay attention to a lot of YouTube videos and other social media, Medium articles, talk about technologies at work with peers and former colleagues."
"Have you ever taught or mentored anyone? If so, how was that experience?","Yes, I was a professional high school chemistry and have my Masters degree in Teaching. I was also a part time volunteer guitar teacher at the high school for a program called Little Kids Rock and a private chemistry tutor."
What kind of projects do you work on in your free time?,"I'm interested in automation, learning how to use software APIs, machine learning, scripting, gaming, front and backend development, and computer science in general. This is in addition to my other hobbies."
Can you tell me about a time when you went above and beyond for a customer or client?,"I built an integration for a customer called Swapcard that would consume their GraphQL API, and post the metadata to the MapsPeople backend, which could be done through a front end tool. This helped strengthen the relationship between MapsPeople and Swapcard."
